UUID,sector,category,activity_id,name,activity_unit,kgCO2e-AR6,kgCO2e-AR5,kgCO2e-AR4,kgCO2,kgCH4,kgN2O,kgCO2e-OtherGHGs-AR6,kgCO2e-OtherGHGs-AR5,kgCO2e-OtherGHGs-AR4,uncertainty,scope,source_lca_activity,lca_activity,source,dataset,year_released,year_valid_from,years_calculated_from,region,data_quality,contributor,date_accessed,description,source_link
18fe14a5-96d4-4132-8549-d5c9ded3b2e6,Agriculture/Hunting/Forestry/Fishing,Agriculture/Hunting/Forestry/Fishing,agriculture_fishing_forestry-type_agriculture_forestry_support,Agriculture and forestry support,USD,not-supplied,not-supplied,not-supplied,0.296,0.004,0.0,not-supplied,not-supplied,0.002,,3,cradle_to_shelf,primary_production-transport-manufacturing,EPA,Supply Chain Factors Dataset (commodities),2022,2018,2012,US,,Climatiq,2022/10/25,Emission intensity of supply chain (with margins i.e. cradle—to—shelf) in US dollars spend on: agriculture and forestry support. This factor is representative of the described commodity equivalent to a goods or services category and was obtained from the USEEIO model v1.0.1. Refer to the source for the source specific data quality assessment. Retrieved from Supply Chain Factors Dataset v1.1.1,https://cfpub.epa.gov/si/si_public_record_Report.cfm?dirEntryId=349324&Lab=CESER
10f433f7-f2f1-47ba-a34f-6394e0928c8c,Agriculture/Hunting/Forestry/Fishing,Agriculture/Hunting/Forestry/Fishing,agriculture_fishing_forestry-type_cotton_ginning,Cotton ginning,USD,not-supplied,not-supplied,0.591,0.32,0.0042,0.000554,0.001716330262,0.0014716804400000001,0.00157292357,,3,cradle_to_shelf,primary_production-transport-manufacturing,EPA,Supply Chain Greenhouse Gas Emission Factors v1.2,2023,2019,,US,,Climatiq,2023/09/04,Emission intensity of supply chain (with margins i.e. cradle to shelf) in US dollars spend on: cotton ginning. This factor is representative of the described goods or services category as defined by the 2017 version of the North American Industry Classification System (NAICS). Refer to the source for the source-specific data quality assessment. Retrieved from Supply Chain Factors Dataset v1.2.,https://cfpub.epa.gov/si/si_public_record_Report.cfm?dirEntryId=349324&Lab=CESER
34dc2bf4-9885-4e9f-b46a-638e81b5d16b,Agriculture/Hunting/Forestry/Fishing,Agriculture/Hunting/Forestry/Fishing,agriculture_fishing_forestry-type_crop_harvesting_primarily_by_machine,Crop harvesting/primarily by machine,USD,not-supplied,not-supplied,0.591,0.32,0.0042,0.000554,0.001716330262,0.0014716804400000001,0.00157292357,,3,cradle_to_shelf,primary_production-transport-manufacturing,EPA,Supply Chain Greenhouse Gas Emission Factors v1.2,2023,2019,,US,,Climatiq,2023/09/04,Emission intensity of supply chain (with margins i.e. cradle to shelf) in US dollars spend on: crop harvesting/primarily by machine. This factor is representative of the described goods or services category as defined by the 2017 version of the North American Industry Classification System (NAICS). Refer to the source for the source-specific data quality assessment. Retrieved from Supply Chain Factors Dataset v1.2.,https://cfpub.epa.gov/si/si_public_record_Report.cfm?dirEntryId=349324&Lab=CESER
bbd589a7-50f1-4c62-99cb-b5999ab01cc5,Agriculture/Hunting/Forestry/Fishing,Agriculture/Hunting/Forestry/Fishing,agriculture_fishing_forestry-type_farm_labor_contractors_and_crew_leaders,Farm labor contractors and crew leaders,USD,not-supplied,not-supplied,0.591,0.32,0.0042,0.000554,0.001716330262,0.0014716804400000001,0.00157292357,,3,cradle_to_shelf,primary_production-transport-manufacturing,EPA,Supply Chain Greenhouse Gas Emission Factors v1.2,2023,2019,,US,,Climatiq,2023/09/04,Emission intensity of supply chain (with margins i.e. cradle to shelf) in US dollars spend on: farm labor contractors and crew leaders. This factor is representative of the described goods or services category as defined by the 2017 version of the North American Industry Classification System (NAICS). Refer to the source for the source-specific data quality assessment. Retrieved from Supply Chain Factors Dataset v1.2.,https://cfpub.epa.gov/si/si_public_record_Report.cfm?dirEntryId=349324&Lab=CESER
d5f7a691-2210-4bbd-af94-34e24cdc9547,Agriculture/Hunting/Forestry/Fishing,Agriculture/Hunting/Forestry/Fishing,agriculture_fishing_forestry-type_farm_management_services,Farm management services,USD,not-supplied,not-supplied,0.591,0.32,0.0042,0.000554,0.001716330262,0.0014716804400000001,0.00157292357,,3,cradle_to_shelf,primary_production-transport-manufacturing,EPA,Supply Chain Greenhouse Gas Emission Factors v1.2,2023,2019,,US,,Climatiq,2023/09/04,Emission intensity of supply chain (with margins i.e. cradle to shelf) in US dollars spend on: farm management services. This factor is representative of the described goods or services category as defined by the 2017 version of the North American Industry Classification System (NAICS). Refer to the source for the source-specific data quality assessment. Retrieved from Supply Chain Factors Dataset v1.2.,https://cfpub.epa.gov/si/si_public_record_Report.cfm?dirEntryId=349324&Lab=CESER
f7458eab-043b-4dd1-b3fb-ad471b3c81c6,Agriculture/Hunting/Forestry/Fishing,Agriculture/Hunting/Forestry/Fishing,agriculture_fishing_forestry-type_postharvest_crop_activities_except_cotton_ginning,Postharvest crop activities (except cotton ginning),USD,not-supplied,not-supplied,0.591,0.32,0.0042,0.000554,0.001716330262,0.0014716804400000001,0.00157292357,,3,cradle_to_shelf,primary_production-transport-manufacturing,EPA,Supply Chain Greenhouse Gas Emission Factors v1.2,2023,2019,,US,,Climatiq,2023/09/04,Emission intensity of supply chain (with margins i.e. cradle to shelf) in US dollars spend on: postharvest crop activities (except cotton ginning). This factor is representative of the described goods or services category as defined by the 2017 version of the North American Industry Classification System (NAICS). Refer to the source for the source-specific data quality assessment. Retrieved from Supply Chain Factors Dataset v1.2.,https://cfpub.epa.gov/si/si_public_record_Report.cfm?dirEntryId=349324&Lab=CESER
67f8e782-6b93-47ed-aced-2034e686a562,Agriculture/Hunting/Forestry/Fishing,Agriculture/Hunting/Forestry/Fishing,agriculture_fishing_forestry-type_soil_preparation_planting_and_cultivating,Soil preparation/planting and cultivating,USD,not-supplied,not-supplied,0.591,0.32,0.0042,0.000554,0.001716330262,0.0014716804400000001,0.00157292357,,3,cradle_to_shelf,primary_production-transport-manufacturing,EPA,Supply Chain Greenhouse Gas Emission Factors v1.2,2023,2019,,US,,Climatiq,2023/09/04,Emission intensity of supply chain (with margins i.e. cradle to shelf) in US dollars spend on: soil preparation/planting and cultivating. This factor is representative of the described goods or services category as defined by the 2017 version of the North American Industry Classification System (NAICS). Refer to the source for the source-specific data quality assessment. Retrieved from Supply Chain Factors Dataset v1.2.,https://cfpub.epa.gov/si/si_public_record_Report.cfm?dirEntryId=349324&Lab=CESER
85a4712f-b22f-43fe-a925-6f5779b557ea,Agriculture/Hunting/Forestry/Fishing,Agriculture/Hunting/Forestry/Fishing,agriculture_fishing_forestry-type_support_activities_for_animal_production,Support activities for animal production,USD,not-supplied,not-supplied,0.591,0.32,0.0042,0.000554,0.001716330262,0.0014716804400000001,0.00157292357,,3,cradle_to_shelf,primary_production-transport-manufacturing,EPA,Supply Chain Greenhouse Gas Emission Factors v1.2,2023,2019,,US,,Climatiq,2023/09/04,Emission intensity of supply chain (with margins i.e. cradle to shelf) in US dollars spend on: support activities for animal production. This factor is representative of the described goods or services category as defined by the 2017 version of the North American Industry Classification System (NAICS). Refer to the source for the source-specific data quality assessment. Retrieved from Supply Chain Factors Dataset v1.2.,https://cfpub.epa.gov/si/si_public_record_Report.cfm?dirEntryId=349324&Lab=CESER
1871bbd5-3280-4bc7-9dba-6659b850a659,Agriculture/Hunting/Forestry/Fishing,Agriculture/Hunting/Forestry/Fishing,agriculture_fishing_forestry-type_support_activities_for_forestry,Support activities for forestry,USD,not-supplied,not-supplied,0.591,0.32,0.0042,0.000554,0.001716330262,0.0014716804400000001,0.00157292357,,3,cradle_to_shelf,primary_production-transport-manufacturing,EPA,Supply Chain Greenhouse Gas Emission Factors v1.2,2023,2019,,US,,Climatiq,2023/09/04,Emission intensity of supply chain (with margins i.e. cradle to shelf) in US dollars spend on: support activities for forestry. This factor is representative of the described goods or services category as defined by the 2017 version of the North American Industry Classification System (NAICS). Refer to the source for the source-specific data quality assessment. Retrieved from Supply Chain Factors Dataset v1.2.,https://cfpub.epa.gov/si/si_public_record_Report.cfm?dirEntryId=349324&Lab=CESER
ecea0479-fca8-40b7-9924-550f3018d8f8,Agriculture/Hunting/Forestry/Fishing,Arable Farming,arable_farming-type_all_other_grain_farming,All other grain farming,USD,not-supplied,not-supplied,3.007,1.06,0.00976,0.00569,0.006120018957,0.0052446607400000005,0.005593213650000001,,3,cradle_to_shelf,primary_production-transport-manufacturing,EPA,Supply Chain Greenhouse Gas Emission Factors v1.2,2023,2019,,US,,Climatiq,2023/09/04,Emission intensity of supply chain (with margins i.e. cradle to shelf) in US dollars spend on: all other grain farming. This factor is representative of the described goods or services category as defined by the 2017 version of the North American Industry Classification System (NAICS). Refer to the source for the source-specific data quality assessment. Retrieved from Supply Chain Factors Dataset v1.2.,https://cfpub.epa.gov/si/si_public_record_Report.cfm?dirEntryId=349324&Lab=CESER
